n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
4128,4096,-23.957026650792123,0.01,64,32,5000,uha,6
8256,8192,-27.874834003654477,0.01,64,32,5000,uha,6
12384,12288,-26.559915582157174,0.01,64,32,5000,uha,6
16512,16384,-28.03842285850769,0.01,64,32,5000,uha,6
20640,20480,-30.31601353352414,0.01,64,32,5000,uha,6
24768,24576,-28.13381422543076,0.01,64,32,5000,uha,6
28896,28672,-20.45897051685208,0.01,64,32,5000,uha,6
33024,32768,-26.58521353975778,0.01,64,32,5000,uha,6
37152,36864,-24.549059713242773,0.01,64,32,5000,uha,6
41280,40960,-29.135728160734,0.01,64,32,5000,uha,6
45408,45056,-22.119519856769518,0.01,64,32,5000,uha,6
49536,49152,-22.12033642160091,0.01,64,32,5000,uha,6
53664,53248,-24.8751334571679,0.01,64,32,5000,uha,6
57792,57344,-20.676248871475146,0.01,64,32,5000,uha,6
61920,61440,-23.923516501997184,0.01,64,32,5000,uha,6
66048,65536,-22.807394607405744,0.01,64,32,5000,uha,6
70176,69632,-21.304843536451536,0.01,64,32,5000,uha,6
74304,73728,-24.27896486703506,0.01,64,32,5000,uha,6
78432,77824,-21.943961764876732,0.01,64,32,5000,uha,6
82560,81920,-19.607835895397596,0.01,64,32,5000,uha,6
86688,86016,-21.575284463930963,0.01,64,32,5000,uha,6
90816,90112,-24.26704351588952,0.01,64,32,5000,uha,6
94944,94208,-23.603575246042034,0.01,64,32,5000,uha,6
99072,98304,-22.46589327486408,0.01,64,32,5000,uha,6
103200,102400,-22.30147891242393,0.01,64,32,5000,uha,6
107328,106496,-23.41120028941688,0.01,64,32,5000,uha,6
111456,110592,-22.82440279690154,0.01,64,32,5000,uha,6
115584,114688,-22.110165070053775,0.01,64,32,5000,uha,6
119712,118784,-20.233552959434817,0.01,64,32,5000,uha,6
123840,122880,-17.70082959096117,0.01,64,32,5000,uha,6
127968,126976,-18.90577892839424,0.01,64,32,5000,uha,6
132096,131072,-20.016779481424198,0.01,64,32,5000,uha,6
136224,135168,-20.30893710224954,0.01,64,32,5000,uha,6
140352,139264,-20.991049003924864,0.01,64,32,5000,uha,6
144480,143360,-20.422607079890643,0.01,64,32,5000,uha,6
148608,147456,-19.710527584102476,0.01,64,32,5000,uha,6
152736,151552,-14.048248702943088,0.01,64,32,5000,uha,6
156864,155648,-20.127980864295832,0.01,64,32,5000,uha,6
160992,159744,-15.681078882925863,0.01,64,32,5000,uha,6
165120,163840,-20.245013372429945,0.01,64,32,5000,uha,6
169248,167936,-18.156173067146533,0.01,64,32,5000,uha,6
173376,172032,-19.08651389302905,0.01,64,32,5000,uha,6
177504,176128,-20.40416991407228,0.01,64,32,5000,uha,6
181632,180224,-17.71044410610567,0.01,64,32,5000,uha,6
185760,184320,-13.02950271095764,0.01,64,32,5000,uha,6
189888,188416,-14.678052613062388,0.01,64,32,5000,uha,6
194016,192512,-20.540883407977777,0.01,64,32,5000,uha,6
198144,196608,-18.015155349756878,0.01,64,32,5000,uha,6
202272,200704,-18.327515246216485,0.01,64,32,5000,uha,6
206400,204800,-19.76279093587854,0.01,64,32,5000,uha,6
210528,208896,-19.042191999032205,0.01,64,32,5000,uha,6
214656,212992,-14.171778341137383,0.01,64,32,5000,uha,6
218784,217088,-19.947240635316287,0.01,64,32,5000,uha,6
222912,221184,-19.796695049035087,0.01,64,32,5000,uha,6
227040,225280,-18.090524894018955,0.01,64,32,5000,uha,6
231168,229376,-15.648028904621892,0.01,64,32,5000,uha,6
235296,233472,-15.520886158789853,0.01,64,32,5000,uha,6
239424,237568,-19.50740315206875,0.01,64,32,5000,uha,6
243552,241664,-17.42496290488906,0.01,64,32,5000,uha,6
247680,245760,-17.611976741020662,0.01,64,32,5000,uha,6
251808,249856,-14.960030504739276,0.01,64,32,5000,uha,6
255936,253952,-17.54478546308611,0.01,64,32,5000,uha,6
260064,258048,-15.69565920071608,0.01,64,32,5000,uha,6
264192,262144,-18.306232998728735,0.01,64,32,5000,uha,6
268320,266240,-15.882552375108077,0.01,64,32,5000,uha,6
272448,270336,-18.07676515185802,0.01,64,32,5000,uha,6
276576,274432,-17.292400837077427,0.01,64,32,5000,uha,6
280704,278528,-15.427031887123619,0.01,64,32,5000,uha,6
284832,282624,-18.818901312689277,0.01,64,32,5000,uha,6
288960,286720,-16.2576917436158,0.01,64,32,5000,uha,6
293088,290816,-18.081610374937043,0.01,64,32,5000,uha,6
297216,294912,-18.22829370354079,0.01,64,32,5000,uha,6
301344,299008,-15.39320687326877,0.01,64,32,5000,uha,6
305472,303104,-15.084653277895352,0.01,64,32,5000,uha,6
309600,307200,-17.197916151632295,0.01,64,32,5000,uha,6
313728,311296,-14.311728917124695,0.01,64,32,5000,uha,6
317856,315392,-17.68394017368813,0.01,64,32,5000,uha,6
321984,319488,-17.3970822229634,0.01,64,32,5000,uha,6
326112,323584,-15.45237204604971,0.01,64,32,5000,uha,6
330240,327680,-17.097886841529675,0.01,64,32,5000,uha,6
334368,331776,-15.183225502927368,0.01,64,32,5000,uha,6
338496,335872,-11.472831626012194,0.01,64,32,5000,uha,6
342624,339968,-18.68730015404138,0.01,64,32,5000,uha,6
346752,344064,-19.01920669454268,0.01,64,32,5000,uha,6
350880,348160,-18.881404110018366,0.01,64,32,5000,uha,6
355008,352256,-16.590443732117222,0.01,64,32,5000,uha,6
359136,356352,-20.4359339142907,0.01,64,32,5000,uha,6
363264,360448,-18.243490257356235,0.01,64,32,5000,uha,6
367392,364544,-18.367072902821857,0.01,64,32,5000,uha,6
371520,368640,-16.74346591445852,0.01,64,32,5000,uha,6
375648,372736,-18.58292575770012,0.01,64,32,5000,uha,6
379776,376832,-18.62145738924255,0.01,64,32,5000,uha,6
383904,380928,-12.922603981448301,0.01,64,32,5000,uha,6
388032,385024,-12.901993441090132,0.01,64,32,5000,uha,6
392160,389120,-15.107455415102876,0.01,64,32,5000,uha,6
396288,393216,-16.927767941944197,0.01,64,32,5000,uha,6
400416,397312,-15.892875671382033,0.01,64,32,5000,uha,6
404544,401408,-14.384718199567494,0.01,64,32,5000,uha,6
408672,405504,-13.130573915532937,0.01,64,32,5000,uha,6
412800,409600,-15.6777522035487,0.01,64,32,5000,uha,6
416928,413696,-16.972091981715046,0.01,64,32,5000,uha,6
421056,417792,-13.948159242530549,0.01,64,32,5000,uha,6
425184,421888,-16.100073769967118,0.01,64,32,5000,uha,6
429312,425984,-14.772383567696922,0.01,64,32,5000,uha,6
433440,430080,-13.537238938765267,0.01,64,32,5000,uha,6
437568,434176,-15.086864109125056,0.01,64,32,5000,uha,6
441696,438272,-17.33697916600595,0.01,64,32,5000,uha,6
445824,442368,-11.780682261327783,0.01,64,32,5000,uha,6
449952,446464,-16.647220069178793,0.01,64,32,5000,uha,6
454080,450560,-13.04621216328633,0.01,64,32,5000,uha,6
458208,454656,-15.735676304854813,0.01,64,32,5000,uha,6
462336,458752,-12.564074736098647,0.01,64,32,5000,uha,6
466464,462848,-16.005809493386455,0.01,64,32,5000,uha,6
470592,466944,-14.826966690514787,0.01,64,32,5000,uha,6
474720,471040,-17.467339830413827,0.01,64,32,5000,uha,6
478848,475136,-16.788368238054264,0.01,64,32,5000,uha,6
482976,479232,-16.333366711063434,0.01,64,32,5000,uha,6
487104,483328,-16.60336790191621,0.01,64,32,5000,uha,6
491232,487424,-14.741169972317252,0.01,64,32,5000,uha,6
495360,491520,-13.433059775119844,0.01,64,32,5000,uha,6
499488,495616,-16.908981513366488,0.01,64,32,5000,uha,6
503616,499712,-12.049159727599019,0.01,64,32,5000,uha,6
507744,503808,-15.63894983316942,0.01,64,32,5000,uha,6
511872,507904,-14.364460073047532,0.01,64,32,5000,uha,6
516000,512000,-15.480219099519026,0.01,64,32,5000,uha,6
520128,516096,-15.508595275037592,0.01,64,32,5000,uha,6
524256,520192,-14.637545038252096,0.01,64,32,5000,uha,6
528384,524288,-16.41777569000745,0.01,64,32,5000,uha,6
532512,528384,-16.917157299549995,0.01,64,32,5000,uha,6
536640,532480,-16.258536979881097,0.01,64,32,5000,uha,6
540768,536576,-15.49006181104242,0.01,64,32,5000,uha,6
544896,540672,-13.628140553088997,0.01,64,32,5000,uha,6
549024,544768,-12.876647621699842,0.01,64,32,5000,uha,6
553152,548864,-13.66110659408567,0.01,64,32,5000,uha,6
557280,552960,-12.94887389487264,0.01,64,32,5000,uha,6
561408,557056,-15.733157370001287,0.01,64,32,5000,uha,6
565536,561152,-18.830181415723086,0.01,64,32,5000,uha,6
569664,565248,-12.017361814673777,0.01,64,32,5000,uha,6
573792,569344,-7.863453139443217,0.01,64,32,5000,uha,6
577920,573440,-16.315109989238742,0.01,64,32,5000,uha,6
582048,577536,-16.5339814757633,0.01,64,32,5000,uha,6
586176,581632,-13.301339511844859,0.01,64,32,5000,uha,6
590304,585728,-15.634881089836554,0.01,64,32,5000,uha,6
594432,589824,-16.069534793013,0.01,64,32,5000,uha,6
598560,593920,-17.91553691771124,0.01,64,32,5000,uha,6
602688,598016,-15.745145654139012,0.01,64,32,5000,uha,6
606816,602112,-14.409951365934164,0.01,64,32,5000,uha,6
610944,606208,-13.764820923087449,0.01,64,32,5000,uha,6
615072,610304,-16.555844629546243,0.01,64,32,5000,uha,6
619200,614400,-8.149820743926494,0.01,64,32,5000,uha,6
623328,618496,-13.374214519496253,0.01,64,32,5000,uha,6
627456,622592,-17.546229399236807,0.01,64,32,5000,uha,6
631584,626688,-16.839814478558342,0.01,64,32,5000,uha,6
635712,630784,-16.31413177490909,0.01,64,32,5000,uha,6
639840,634880,-18.448369976137748,0.01,64,32,5000,uha,6
643968,638976,-17.178444675717557,0.01,64,32,5000,uha,6
648096,643072,-16.735491492918452,0.01,64,32,5000,uha,6
652224,647168,-16.399216957006722,0.01,64,32,5000,uha,6
656352,651264,-16.345474165117114,0.01,64,32,5000,uha,6
