n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,992,-56.802882161017266,0.0001,16,32,5000,ula,29
64,1984,-50.254536380023154,0.0001,16,32,5000,ula,29
96,2976,-57.44979323550367,0.0001,16,32,5000,ula,29
128,3968,-54.11980687630549,0.0001,16,32,5000,ula,29
160,4960,-54.10744811873099,0.0001,16,32,5000,ula,29
192,5952,-58.63198765523594,0.0001,16,32,5000,ula,29
224,6944,-56.28486543039966,0.0001,16,32,5000,ula,29
256,7936,-62.50679986048612,0.0001,16,32,5000,ula,29
288,8928,-59.95458674179658,0.0001,16,32,5000,ula,29
320,9920,-56.38481329468111,0.0001,16,32,5000,ula,29
352,10912,-60.66999356343683,0.0001,16,32,5000,ula,29
384,11904,-56.96857752172447,0.0001,16,32,5000,ula,29
416,12896,-60.423755608987285,0.0001,16,32,5000,ula,29
448,13888,-56.754064115532266,0.0001,16,32,5000,ula,29
480,14880,-61.115724025860736,0.0001,16,32,5000,ula,29
512,15872,-59.96775787657517,0.0001,16,32,5000,ula,29
544,16864,-58.29182320059948,0.0001,16,32,5000,ula,29
576,17856,-53.98809661601559,0.0001,16,32,5000,ula,29
608,18848,-63.062737263063546,0.0001,16,32,5000,ula,29
640,19840,-50.704101025325,0.0001,16,32,5000,ula,29
672,20832,-63.00994326536487,0.0001,16,32,5000,ula,29
704,21824,-60.28459262381648,0.0001,16,32,5000,ula,29
736,22816,-59.37662615247543,0.0001,16,32,5000,ula,29
768,23808,-57.323748085544494,0.0001,16,32,5000,ula,29
800,24800,-55.95125226047079,0.0001,16,32,5000,ula,29
832,25792,-62.647732646175115,0.0001,16,32,5000,ula,29
864,26784,-55.80756343371546,0.0001,16,32,5000,ula,29
896,27776,-59.951707898314424,0.0001,16,32,5000,ula,29
928,28768,-59.88487762651591,0.0001,16,32,5000,ula,29
960,29760,-50.77524938913495,0.0001,16,32,5000,ula,29
992,30752,-54.83404578489405,0.0001,16,32,5000,ula,29
1024,31744,-56.828875332061884,0.0001,16,32,5000,ula,29
1056,32736,-61.759942201424245,0.0001,16,32,5000,ula,29
1088,33728,-55.08101378244803,0.0001,16,32,5000,ula,29
1120,34720,-56.78180942307074,0.0001,16,32,5000,ula,29
1152,35712,-62.330032489554455,0.0001,16,32,5000,ula,29
1184,36704,-59.242704298391764,0.0001,16,32,5000,ula,29
1216,37696,-58.64726056762625,0.0001,16,32,5000,ula,29
1248,38688,-60.09436467727894,0.0001,16,32,5000,ula,29
1280,39680,-60.8306538870157,0.0001,16,32,5000,ula,29
1312,40672,-63.426393408810725,0.0001,16,32,5000,ula,29
1344,41664,-59.93673065235111,0.0001,16,32,5000,ula,29
1376,42656,-59.93684099147433,0.0001,16,32,5000,ula,29
1408,43648,-60.404508447755646,0.0001,16,32,5000,ula,29
