n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
2080,2048,-153.7618194963079,0.0001,32,32,5000,uha,5
4160,4096,-156.0029423635474,0.0001,32,32,5000,uha,5
6240,6144,-147.85749539111072,0.0001,32,32,5000,uha,5
8320,8192,-151.3244392581139,0.0001,32,32,5000,uha,5
10400,10240,-157.6476689334155,0.0001,32,32,5000,uha,5
12480,12288,-146.08098880305556,0.0001,32,32,5000,uha,5
14560,14336,-151.67917130175428,0.0001,32,32,5000,uha,5
16640,16384,-148.5843251955114,0.0001,32,32,5000,uha,5
18720,18432,-159.59814618438054,0.0001,32,32,5000,uha,5
20800,20480,-146.63862333641504,0.0001,32,32,5000,uha,5
22880,22528,-148.94309766859288,0.0001,32,32,5000,uha,5
24960,24576,-135.39125163192023,0.0001,32,32,5000,uha,5
27040,26624,-146.96276475683808,0.0001,32,32,5000,uha,5
29120,28672,-144.0620089954925,0.0001,32,32,5000,uha,5
31200,30720,-154.9797068190329,0.0001,32,32,5000,uha,5
33280,32768,-150.00982833318304,0.0001,32,32,5000,uha,5
35360,34816,-139.64445902309544,0.0001,32,32,5000,uha,5
37440,36864,-148.43307935832567,0.0001,32,32,5000,uha,5
39520,38912,-153.0609698449309,0.0001,32,32,5000,uha,5
41600,40960,-161.11608824713161,0.0001,32,32,5000,uha,5
43680,43008,-134.43696588693172,0.0001,32,32,5000,uha,5
45760,45056,-154.04901135800503,0.0001,32,32,5000,uha,5
47840,47104,-140.56161480539177,0.0001,32,32,5000,uha,5
49920,49152,-157.24220311210664,0.0001,32,32,5000,uha,5
52000,51200,-151.50868706523974,0.0001,32,32,5000,uha,5
54080,53248,-149.8092511948883,0.0001,32,32,5000,uha,5
56160,55296,-159.53129130994347,0.0001,32,32,5000,uha,5
58240,57344,-150.44605491809926,0.0001,32,32,5000,uha,5
60320,59392,-147.68420943529773,0.0001,32,32,5000,uha,5
62400,61440,-154.54308462358884,0.0001,32,32,5000,uha,5
64480,63488,-160.31695610843263,0.0001,32,32,5000,uha,5
66560,65536,-154.50338744592787,0.0001,32,32,5000,uha,5
68640,67584,-158.25511459316814,0.0001,32,32,5000,uha,5
70720,69632,-139.51648972531711,0.0001,32,32,5000,uha,5
72800,71680,-162.1442807812343,0.0001,32,32,5000,uha,5
74880,73728,-148.82095684565525,0.0001,32,32,5000,uha,5
