n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,992,-639.4300391160094,0.01,16,32,5000,ula,31
64,1984,-660.9856076527204,0.01,16,32,5000,ula,31
96,2976,-798.9920026174714,0.01,16,32,5000,ula,31
128,3968,-793.8054590659677,0.01,16,32,5000,ula,31
160,4960,-751.9713579963412,0.01,16,32,5000,ula,31
192,5952,-751.7960631464747,0.01,16,32,5000,ula,31
224,6944,-732.6018876590383,0.01,16,32,5000,ula,31
256,7936,-758.2033654089023,0.01,16,32,5000,ula,31
288,8928,-828.8011099179437,0.01,16,32,5000,ula,31
320,9920,-763.7272672477616,0.01,16,32,5000,ula,31
352,10912,-832.7254869540451,0.01,16,32,5000,ula,31
384,11904,-709.9790450115094,0.01,16,32,5000,ula,31
416,12896,-650.9291743851835,0.01,16,32,5000,ula,31
448,13888,-771.86980304077,0.01,16,32,5000,ula,31
480,14880,-798.9988779114805,0.01,16,32,5000,ula,31
512,15872,-619.0841407650404,0.01,16,32,5000,ula,31
544,16864,-772.0295352458837,0.01,16,32,5000,ula,31
576,17856,-772.5778499774866,0.01,16,32,5000,ula,31
608,18848,-780.3742977485784,0.01,16,32,5000,ula,31
640,19840,-784.3940354080743,0.01,16,32,5000,ula,31
672,20832,-749.3004018026317,0.01,16,32,5000,ula,31
704,21824,-798.1391842543287,0.01,16,32,5000,ula,31
736,22816,-713.3352064968881,0.01,16,32,5000,ula,31
768,23808,-705.5014887568492,0.01,16,32,5000,ula,31
800,24800,-763.6975536030504,0.01,16,32,5000,ula,31
832,25792,-641.1411439773997,0.01,16,32,5000,ula,31
864,26784,-677.1786559814507,0.01,16,32,5000,ula,31
896,27776,-632.9448859891592,0.01,16,32,5000,ula,31
928,28768,-699.8712016761806,0.01,16,32,5000,ula,31
960,29760,-657.0622054069112,0.01,16,32,5000,ula,31
992,30752,-578.128564902494,0.01,16,32,5000,ula,31
1024,31744,-583.1003466239955,0.01,16,32,5000,ula,31
1056,32736,-657.7961849804507,0.01,16,32,5000,ula,31
1088,33728,-591.9977529782188,0.01,16,32,5000,ula,31
1120,34720,-551.5745113868758,0.01,16,32,5000,ula,31
1152,35712,-583.6588561909961,0.01,16,32,5000,ula,31
1184,36704,-536.4123079087157,0.01,16,32,5000,ula,31
1216,37696,-544.7264357918518,0.01,16,32,5000,ula,31
1248,38688,-528.4120121935273,0.01,16,32,5000,ula,31
1280,39680,-499.23131282421764,0.01,16,32,5000,ula,31
1312,40672,-499.10837046100096,0.01,16,32,5000,ula,31
1344,41664,-478.8925762149688,0.01,16,32,5000,ula,31
1376,42656,-460.6002056818936,0.01,16,32,5000,ula,31
1408,43648,-476.40309477216994,0.01,16,32,5000,ula,31
1440,44640,-501.738523383091,0.01,16,32,5000,ula,31
1472,45632,-445.1064064886079,0.01,16,32,5000,ula,31
1504,46624,-468.88221475936757,0.01,16,32,5000,ula,31
1536,47616,-455.37180868053747,0.01,16,32,5000,ula,31
1568,48608,-488.2091400147844,0.01,16,32,5000,ula,31
1600,49600,-453.0689008952094,0.01,16,32,5000,ula,31
1632,50592,-453.02853818929333,0.01,16,32,5000,ula,31
1664,51584,-427.36347537017735,0.01,16,32,5000,ula,31
1696,52576,-453.0021386430524,0.01,16,32,5000,ula,31
1728,53568,-432.72907665053606,0.01,16,32,5000,ula,31
1760,54560,-424.84923585270565,0.01,16,32,5000,ula,31
1792,55552,-396.02176541765476,0.01,16,32,5000,ula,31
1824,56544,-408.80197015614436,0.01,16,32,5000,ula,31
1856,57536,-404.47512380596504,0.01,16,32,5000,ula,31
1888,58528,-384.9196127800159,0.01,16,32,5000,ula,31
1920,59520,-377.72182686269997,0.01,16,32,5000,ula,31
1952,60512,-344.64062620565437,0.01,16,32,5000,ula,31
1984,61504,-367.4842317528517,0.01,16,32,5000,ula,31
2016,62496,-337.4548048078317,0.01,16,32,5000,ula,31
2048,63488,-301.8623795471965,0.01,16,32,5000,ula,31
2080,64480,-316.9100134169547,0.01,16,32,5000,ula,31
2112,65472,-284.6026900140467,0.01,16,32,5000,ula,31
2144,66464,-335.8545249438465,0.01,16,32,5000,ula,31
2176,67456,-298.24954809879847,0.01,16,32,5000,ula,31
2208,68448,-318.035239822001,0.01,16,32,5000,ula,31
2240,69440,-286.3532915698944,0.01,16,32,5000,ula,31
2272,70432,-275.88024007238766,0.01,16,32,5000,ula,31
2304,71424,-276.5982468777411,0.01,16,32,5000,ula,31
2336,72416,-292.0224005709933,0.01,16,32,5000,ula,31
2368,73408,-293.7114062851151,0.01,16,32,5000,ula,31
2400,74400,-273.940062581799,0.01,16,32,5000,ula,31
2432,75392,-238.53310590109376,0.01,16,32,5000,ula,31
2464,76384,-243.38088532213644,0.01,16,32,5000,ula,31
2496,77376,-247.58911937205724,0.01,16,32,5000,ula,31
2528,78368,-237.25799130754604,0.01,16,32,5000,ula,31
2560,79360,-228.58771650990633,0.01,16,32,5000,ula,31
2592,80352,-225.17079528540333,0.01,16,32,5000,ula,31
2624,81344,-238.54584753255386,0.01,16,32,5000,ula,31
2656,82336,-243.81836301300928,0.01,16,32,5000,ula,31
2688,83328,-230.6057359206438,0.01,16,32,5000,ula,31
2720,84320,-219.25799788632855,0.01,16,32,5000,ula,31
2752,85312,-225.8296711679892,0.01,16,32,5000,ula,31
2784,86304,-228.6911034062273,0.01,16,32,5000,ula,31
2816,87296,-210.9588688507641,0.01,16,32,5000,ula,31
2848,88288,-220.88128155690438,0.01,16,32,5000,ula,31
2880,89280,-223.49700137101078,0.01,16,32,5000,ula,31
2912,90272,-216.86755492123152,0.01,16,32,5000,ula,31
2944,91264,-213.28637624911235,0.01,16,32,5000,ula,31
2976,92256,-220.4790150859234,0.01,16,32,5000,ula,31
3008,93248,-225.33251923141276,0.01,16,32,5000,ula,31
3040,94240,-211.35122782776807,0.01,16,32,5000,ula,31
3072,95232,-209.75597348323365,0.01,16,32,5000,ula,31
3104,96224,-208.56314572827768,0.01,16,32,5000,ula,31
3136,97216,-225.61102811517983,0.01,16,32,5000,ula,31
3168,98208,-214.72137175045776,0.01,16,32,5000,ula,31
3200,99200,-211.0737322154275,0.01,16,32,5000,ula,31
3232,100192,-226.7792253739314,0.01,16,32,5000,ula,31
3264,101184,-221.1534458468049,0.01,16,32,5000,ula,31
3296,102176,-214.69456374008976,0.01,16,32,5000,ula,31
3328,103168,-208.34162620226823,0.01,16,32,5000,ula,31
3360,104160,-213.7006291190692,0.01,16,32,5000,ula,31
3392,105152,-218.0561712848612,0.01,16,32,5000,ula,31
3424,106144,-213.17640665852494,0.01,16,32,5000,ula,31
3456,107136,-207.34309046197134,0.01,16,32,5000,ula,31
3488,108128,-211.18055895585866,0.01,16,32,5000,ula,31
3520,109120,-220.54952268952528,0.01,16,32,5000,ula,31
3552,110112,-221.88276364038688,0.01,16,32,5000,ula,31
3584,111104,-217.75021902401633,0.01,16,32,5000,ula,31
3616,112096,-208.62544148583652,0.01,16,32,5000,ula,31
3648,113088,-218.11194339935724,0.01,16,32,5000,ula,31
3680,114080,-214.51119431579514,0.01,16,32,5000,ula,31
3712,115072,-214.71936545974384,0.01,16,32,5000,ula,31
3744,116064,-213.16655019504918,0.01,16,32,5000,ula,31
3776,117056,-211.19895633646243,0.01,16,32,5000,ula,31
3808,118048,-213.48061548957884,0.01,16,32,5000,ula,31
3840,119040,-208.8443318970351,0.01,16,32,5000,ula,31
3872,120032,-215.96929394145687,0.01,16,32,5000,ula,31
3904,121024,-212.11643624085463,0.01,16,32,5000,ula,31
3936,122016,-217.27236809073838,0.01,16,32,5000,ula,31
3968,123008,-214.98869958813034,0.01,16,32,5000,ula,31
4000,124000,-183.36190443391385,0.01,16,32,5000,ula,31
4032,124992,-212.48544485102616,0.01,16,32,5000,ula,31
4064,125984,-213.06186746011164,0.01,16,32,5000,ula,31
4096,126976,-199.2303898396871,0.01,16,32,5000,ula,31
4128,127968,-215.4889175229505,0.01,16,32,5000,ula,31
4160,128960,-208.35680988024953,0.01,16,32,5000,ula,31
4192,129952,-209.32130168700226,0.01,16,32,5000,ula,31
4224,130944,-208.55727574289315,0.01,16,32,5000,ula,31
4256,131936,-218.29025927930596,0.01,16,32,5000,ula,31
4288,132928,-218.82832122759248,0.01,16,32,5000,ula,31
4320,133920,-217.89247829117534,0.01,16,32,5000,ula,31
4352,134912,-208.24679156008486,0.01,16,32,5000,ula,31
4384,135904,-209.1317386846214,0.01,16,32,5000,ula,31
4416,136896,-212.35501965324522,0.01,16,32,5000,ula,31
4448,137888,-215.60431693040243,0.01,16,32,5000,ula,31
4480,138880,-207.34055196721707,0.01,16,32,5000,ula,31
4512,139872,-207.52691567269162,0.01,16,32,5000,ula,31
4544,140864,-210.70970769523205,0.01,16,32,5000,ula,31
4576,141856,-209.69110133908507,0.01,16,32,5000,ula,31
4608,142848,-206.57953096606892,0.01,16,32,5000,ula,31
4640,143840,-191.3518793588306,0.01,16,32,5000,ula,31
4672,144832,-217.91117441870688,0.01,16,32,5000,ula,31
4704,145824,-213.4367999672965,0.01,16,32,5000,ula,31
4736,146816,-215.02558796276918,0.01,16,32,5000,ula,31
4768,147808,-217.59491525069086,0.01,16,32,5000,ula,31
4800,148800,-208.8930759522604,0.01,16,32,5000,ula,31
4832,149792,-202.32445723033936,0.01,16,32,5000,ula,31
4864,150784,-216.55820891325544,0.01,16,32,5000,ula,31
4896,151776,-211.17158332547157,0.01,16,32,5000,ula,31
4928,152768,-216.05351597913497,0.01,16,32,5000,ula,31
4960,153760,-213.51161370516255,0.01,16,32,5000,ula,31
4992,154752,-217.14613867772457,0.01,16,32,5000,ula,31
5024,155744,-209.05903184512215,0.01,16,32,5000,ula,31
5056,156736,-206.19840871430634,0.01,16,32,5000,ula,31
5088,157728,-202.5752371768274,0.01,16,32,5000,ula,31
5120,158720,-217.48951689993152,0.01,16,32,5000,ula,31
5152,159712,-201.626376669211,0.01,16,32,5000,ula,31
5184,160704,-220.4849429030284,0.01,16,32,5000,ula,31
5216,161696,-198.28793132417397,0.01,16,32,5000,ula,31
5248,162688,-210.37250817663377,0.01,16,32,5000,ula,31
5280,163680,-201.96450234051588,0.01,16,32,5000,ula,31
5312,164672,-206.99644730934665,0.01,16,32,5000,ula,31
5344,165664,-208.5537253631961,0.01,16,32,5000,ula,31
5376,166656,-218.06904199944165,0.01,16,32,5000,ula,31
5408,167648,-213.57406706839075,0.01,16,32,5000,ula,31
5440,168640,-207.7190479155417,0.01,16,32,5000,ula,31
5472,169632,-207.36650954109834,0.01,16,32,5000,ula,31
5504,170624,-206.81074032602254,0.01,16,32,5000,ula,31
5536,171616,-201.9146289139935,0.01,16,32,5000,ula,31
5568,172608,-213.3499395111835,0.01,16,32,5000,ula,31
5600,173600,-217.97429177498188,0.01,16,32,5000,ula,31
5632,174592,-197.60000659015802,0.01,16,32,5000,ula,31
5664,175584,-213.70279926916837,0.01,16,32,5000,ula,31
5696,176576,-218.75554520007677,0.01,16,32,5000,ula,31
5728,177568,-215.94153946282933,0.01,16,32,5000,ula,31
5760,178560,-204.00798516464192,0.01,16,32,5000,ula,31
5792,179552,-200.1074723984389,0.01,16,32,5000,ula,31
5824,180544,-203.48410284441118,0.01,16,32,5000,ula,31
5856,181536,-208.63755710956838,0.01,16,32,5000,ula,31
5888,182528,-215.73433256676321,0.01,16,32,5000,ula,31
5920,183520,-214.34788471040994,0.01,16,32,5000,ula,31
5952,184512,-195.28002498846004,0.01,16,32,5000,ula,31
5984,185504,-202.88014356784382,0.01,16,32,5000,ula,31
6016,186496,-210.9613269278591,0.01,16,32,5000,ula,31
6048,187488,-209.11325750317073,0.01,16,32,5000,ula,31
6080,188480,-219.8029930413945,0.01,16,32,5000,ula,31
6112,189472,-213.55197017297317,0.01,16,32,5000,ula,31
6144,190464,-207.6398599413099,0.01,16,32,5000,ula,31
6176,191456,-207.93418954098598,0.01,16,32,5000,ula,31
6208,192448,-208.37017260097429,0.01,16,32,5000,ula,31
6240,193440,-191.36363850305412,0.01,16,32,5000,ula,31
6272,194432,-204.66355446490198,0.01,16,32,5000,ula,31
6304,195424,-207.5371573529485,0.01,16,32,5000,ula,31
6336,196416,-205.72058850523953,0.01,16,32,5000,ula,31
6368,197408,-211.33514332177785,0.01,16,32,5000,ula,31
6400,198400,-209.4831238335948,0.01,16,32,5000,ula,31
6432,199392,-209.2279588524305,0.01,16,32,5000,ula,31
6464,200384,-205.16029549729436,0.01,16,32,5000,ula,31
6496,201376,-212.18171914340073,0.01,16,32,5000,ula,31
6528,202368,-201.27486335021842,0.01,16,32,5000,ula,31
6560,203360,-213.90317558969377,0.01,16,32,5000,ula,31
6592,204352,-207.09092715566894,0.01,16,32,5000,ula,31
6624,205344,-199.05710229572787,0.01,16,32,5000,ula,31
6656,206336,-212.05597528732469,0.01,16,32,5000,ula,31
6688,207328,-201.14420156092427,0.01,16,32,5000,ula,31
6720,208320,-198.13093155942275,0.01,16,32,5000,ula,31
6752,209312,-200.33168270429013,0.01,16,32,5000,ula,31
6784,210304,-187.0284533503327,0.01,16,32,5000,ula,31
6816,211296,-190.8457527003359,0.01,16,32,5000,ula,31
6848,212288,-210.54170195476064,0.01,16,32,5000,ula,31
6880,213280,-210.6212589579336,0.01,16,32,5000,ula,31
6912,214272,-204.94371629170678,0.01,16,32,5000,ula,31
6944,215264,-214.25868540065227,0.01,16,32,5000,ula,31
6976,216256,-214.838365455644,0.01,16,32,5000,ula,31
7008,217248,-211.57056619651073,0.01,16,32,5000,ula,31
7040,218240,-207.12435703809984,0.01,16,32,5000,ula,31
7072,219232,-211.3802058890426,0.01,16,32,5000,ula,31
7104,220224,-204.67941929121565,0.01,16,32,5000,ula,31
7136,221216,-206.77734345920516,0.01,16,32,5000,ula,31
7168,222208,-210.40154921617034,0.01,16,32,5000,ula,31
7200,223200,-217.03471592700117,0.01,16,32,5000,ula,31
7232,224192,-200.0645372762016,0.01,16,32,5000,ula,31
7264,225184,-210.86992625841845,0.01,16,32,5000,ula,31
7296,226176,-202.15735554708667,0.01,16,32,5000,ula,31
7328,227168,-197.98033355514096,0.01,16,32,5000,ula,31
7360,228160,-194.91095324630163,0.01,16,32,5000,ula,31
7392,229152,-201.73768873299844,0.01,16,32,5000,ula,31
7424,230144,-203.5143114051347,0.01,16,32,5000,ula,31
7456,231136,-204.265312076679,0.01,16,32,5000,ula,31
7488,232128,-209.57433340982794,0.01,16,32,5000,ula,31
7520,233120,-195.03769848983373,0.01,16,32,5000,ula,31
7552,234112,-195.83422860815207,0.01,16,32,5000,ula,31
7584,235104,-196.7110606116859,0.01,16,32,5000,ula,31
7616,236096,-196.82381189490008,0.01,16,32,5000,ula,31
7648,237088,-202.07845414444276,0.01,16,32,5000,ula,31
7680,238080,-199.8270924232295,0.01,16,32,5000,ula,31
7712,239072,-198.7022360115257,0.01,16,32,5000,ula,31
7744,240064,-199.15718226113168,0.01,16,32,5000,ula,31
7776,241056,-207.6015113280423,0.01,16,32,5000,ula,31
7808,242048,-203.77984859655646,0.01,16,32,5000,ula,31
7840,243040,-186.78908268775828,0.01,16,32,5000,ula,31
7872,244032,-211.88673982303845,0.01,16,32,5000,ula,31
7904,245024,-198.6146213299534,0.01,16,32,5000,ula,31
7936,246016,-203.96436219429822,0.01,16,32,5000,ula,31
7968,247008,-211.44563119650294,0.01,16,32,5000,ula,31
8000,248000,-206.41455254313533,0.01,16,32,5000,ula,31
8032,248992,-188.79090335541545,0.01,16,32,5000,ula,31
8064,249984,-204.19940533096315,0.01,16,32,5000,ula,31
8096,250976,-200.89263437762474,0.01,16,32,5000,ula,31
8128,251968,-204.4980745462089,0.01,16,32,5000,ula,31
8160,252960,-209.86127197334415,0.01,16,32,5000,ula,31
8192,253952,-199.12985255503602,0.01,16,32,5000,ula,31
8224,254944,-206.11827247209968,0.01,16,32,5000,ula,31
8256,255936,-191.79910906880033,0.01,16,32,5000,ula,31
8288,256928,-200.40752249631367,0.01,16,32,5000,ula,31
8320,257920,-200.11182954898308,0.01,16,32,5000,ula,31
8352,258912,-184.71490827225642,0.01,16,32,5000,ula,31
8384,259904,-202.2400652321078,0.01,16,32,5000,ula,31
8416,260896,-206.42574008003467,0.01,16,32,5000,ula,31
8448,261888,-206.95691348939238,0.01,16,32,5000,ula,31
8480,262880,-194.08847626073998,0.01,16,32,5000,ula,31
8512,263872,-203.19187843966998,0.01,16,32,5000,ula,31
8544,264864,-209.1348093389516,0.01,16,32,5000,ula,31
8576,265856,-193.83353976810778,0.01,16,32,5000,ula,31
8608,266848,-195.06594579185358,0.01,16,32,5000,ula,31
8640,267840,-204.11611880700693,0.01,16,32,5000,ula,31
8672,268832,-206.12409519957518,0.01,16,32,5000,ula,31
8704,269824,-207.52843126614945,0.01,16,32,5000,ula,31
8736,270816,-200.89556528174242,0.01,16,32,5000,ula,31
8768,271808,-209.4288101273521,0.01,16,32,5000,ula,31
8800,272800,-199.72452411839456,0.01,16,32,5000,ula,31
8832,273792,-205.1515810054241,0.01,16,32,5000,ula,31
8864,274784,-205.9269546176806,0.01,16,32,5000,ula,31
8896,275776,-193.41389681157628,0.01,16,32,5000,ula,31
8928,276768,-205.92151701070296,0.01,16,32,5000,ula,31
8960,277760,-205.1848816770874,0.01,16,32,5000,ula,31
8992,278752,-201.37196122005622,0.01,16,32,5000,ula,31
9024,279744,-199.34093451490781,0.01,16,32,5000,ula,31
9056,280736,-198.86598353187924,0.01,16,32,5000,ula,31
9088,281728,-208.6060220834715,0.01,16,32,5000,ula,31
9120,282720,-198.3501084925332,0.01,16,32,5000,ula,31
9152,283712,-207.12715978980492,0.01,16,32,5000,ula,31
9184,284704,-207.83089802479267,0.01,16,32,5000,ula,31
9216,285696,-202.7207122342959,0.01,16,32,5000,ula,31
9248,286688,-204.7885122973858,0.01,16,32,5000,ula,31
9280,287680,-207.42590976268528,0.01,16,32,5000,ula,31
9312,288672,-207.8638627074004,0.01,16,32,5000,ula,31
9344,289664,-196.59725518394322,0.01,16,32,5000,ula,31
9376,290656,-207.98667923391238,0.01,16,32,5000,ula,31
9408,291648,-205.32021396185291,0.01,16,32,5000,ula,31
9440,292640,-188.59744622497104,0.01,16,32,5000,ula,31
9472,293632,-197.4968092998273,0.01,16,32,5000,ula,31
9504,294624,-204.8885701812427,0.01,16,32,5000,ula,31
9536,295616,-192.31752580323896,0.01,16,32,5000,ula,31
9568,296608,-196.08432338034604,0.01,16,32,5000,ula,31
9600,297600,-211.08121669640468,0.01,16,32,5000,ula,31
9632,298592,-192.67579949369176,0.01,16,32,5000,ula,31
9664,299584,-199.22600731665892,0.01,16,32,5000,ula,31
9696,300576,-188.68427667627228,0.01,16,32,5000,ula,31
9728,301568,-195.8522793170148,0.01,16,32,5000,ula,31
9760,302560,-208.27587178955574,0.01,16,32,5000,ula,31
9792,303552,-195.14600265354244,0.01,16,32,5000,ula,31
9824,304544,-202.9204207996779,0.01,16,32,5000,ula,31
9856,305536,-202.4191220013038,0.01,16,32,5000,ula,31
9888,306528,-194.13578856881114,0.01,16,32,5000,ula,31
9920,307520,-195.81079053503257,0.01,16,32,5000,ula,31
9952,308512,-202.88326325205588,0.01,16,32,5000,ula,31
9984,309504,-198.9785982096121,0.01,16,32,5000,ula,31
10016,310496,-194.047236263587,0.01,16,32,5000,ula,31
10048,311488,-208.1278436571669,0.01,16,32,5000,ula,31
10080,312480,-195.05642856891333,0.01,16,32,5000,ula,31
10112,313472,-193.92435723260368,0.01,16,32,5000,ula,31
10144,314464,-206.62361980499105,0.01,16,32,5000,ula,31
10176,315456,-210.1038038693783,0.01,16,32,5000,ula,31
10208,316448,-209.13459694221962,0.01,16,32,5000,ula,31
10240,317440,-198.27194705848507,0.01,16,32,5000,ula,31
10272,318432,-209.15942695854076,0.01,16,32,5000,ula,31
10304,319424,-196.7416813009103,0.01,16,32,5000,ula,31
10336,320416,-204.94412701231263,0.01,16,32,5000,ula,31
10368,321408,-189.68065065272563,0.01,16,32,5000,ula,31
10400,322400,-194.09058759529063,0.01,16,32,5000,ula,31
10432,323392,-203.71752461538279,0.01,16,32,5000,ula,31
10464,324384,-203.42245325446797,0.01,16,32,5000,ula,31
10496,325376,-209.68736846489503,0.01,16,32,5000,ula,31
10528,326368,-191.136196479654,0.01,16,32,5000,ula,31
10560,327360,-190.7617140014887,0.01,16,32,5000,ula,31
10592,328352,-207.81394884159116,0.01,16,32,5000,ula,31
10624,329344,-196.51216382343094,0.01,16,32,5000,ula,31
10656,330336,-196.85313499490218,0.01,16,32,5000,ula,31
10688,331328,-198.62877904179433,0.01,16,32,5000,ula,31
10720,332320,-203.5674826119798,0.01,16,32,5000,ula,31
10752,333312,-190.17261932248255,0.01,16,32,5000,ula,31
10784,334304,-203.09394824504537,0.01,16,32,5000,ula,31
10816,335296,-198.04214044357636,0.01,16,32,5000,ula,31
10848,336288,-199.42228299503535,0.01,16,32,5000,ula,31
10880,337280,-207.86760825195174,0.01,16,32,5000,ula,31
10912,338272,-206.15123583601982,0.01,16,32,5000,ula,31
10944,339264,-200.94145567217134,0.01,16,32,5000,ula,31
10976,340256,-201.77677467992694,0.01,16,32,5000,ula,31
11008,341248,-202.80260747700228,0.01,16,32,5000,ula,31
11040,342240,-191.6657787886609,0.01,16,32,5000,ula,31
11072,343232,-194.9067236230428,0.01,16,32,5000,ula,31
11104,344224,-192.52036806738894,0.01,16,32,5000,ula,31
11136,345216,-203.52543398957175,0.01,16,32,5000,ula,31
11168,346208,-209.27532807765118,0.01,16,32,5000,ula,31
11200,347200,-197.25844384558187,0.01,16,32,5000,ula,31
11232,348192,-204.0688702762,0.01,16,32,5000,ula,31
11264,349184,-197.80171709171697,0.01,16,32,5000,ula,31
11296,350176,-202.98428939813593,0.01,16,32,5000,ula,31
11328,351168,-195.23147240352608,0.01,16,32,5000,ula,31
11360,352160,-190.8961244072659,0.01,16,32,5000,ula,31
11392,353152,-205.37435801029508,0.01,16,32,5000,ula,31
11424,354144,-198.48298577090728,0.01,16,32,5000,ula,31
11456,355136,-194.53611882677447,0.01,16,32,5000,ula,31
11488,356128,-195.1091495468272,0.01,16,32,5000,ula,31
11520,357120,-189.84908561935165,0.01,16,32,5000,ula,31
11552,358112,-200.29971234641195,0.01,16,32,5000,ula,31
11584,359104,-195.4918159418669,0.01,16,32,5000,ula,31
11616,360096,-202.3748570540245,0.01,16,32,5000,ula,31
11648,361088,-188.19861865388492,0.01,16,32,5000,ula,31
11680,362080,-191.84032050273848,0.01,16,32,5000,ula,31
11712,363072,-191.0058521577404,0.01,16,32,5000,ula,31
11744,364064,-198.1127677616716,0.01,16,32,5000,ula,31
11776,365056,-199.56054114515013,0.01,16,32,5000,ula,31
11808,366048,-193.10044379095413,0.01,16,32,5000,ula,31
11840,367040,-193.52237443500016,0.01,16,32,5000,ula,31
11872,368032,-201.66421794094813,0.01,16,32,5000,ula,31
11904,369024,-197.3541000466838,0.01,16,32,5000,ula,31
11936,370016,-192.39091031687005,0.01,16,32,5000,ula,31
11968,371008,-205.3017284676685,0.01,16,32,5000,ula,31
12000,372000,-198.44156281039758,0.01,16,32,5000,ula,31
12032,372992,-195.3838059394049,0.01,16,32,5000,ula,31
