n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
1056,1024,-0.3455991744995117,0.001,16,32,5000,uha,19
2112,2048,-0.9250726699829102,0.001,16,32,5000,uha,19
3168,3072,-1.0341787338256836,0.001,16,32,5000,uha,19
4224,4096,-0.9001026153564453,0.001,16,32,5000,uha,19
5280,5120,-0.9260549545288086,0.001,16,32,5000,uha,19
6336,6144,-0.6635499000549316,0.001,16,32,5000,uha,19
7392,7168,-0.7140636444091797,0.001,16,32,5000,uha,19
8448,8192,-0.13992071151733398,0.001,16,32,5000,uha,19
9504,9216,-1.037466049194336,0.001,16,32,5000,uha,19
10560,10240,-0.6142196655273438,0.001,16,32,5000,uha,19
11616,11264,-0.5928959846496582,0.001,16,32,5000,uha,19
12672,12288,-0.9945592880249023,0.001,16,32,5000,uha,19
13728,13312,-0.9506087303161621,0.001,16,32,5000,uha,19
14784,14336,-0.7299160957336426,0.001,16,32,5000,uha,19
15840,15360,-0.924685001373291,0.001,16,32,5000,uha,19
16896,16384,-1.0165796279907227,0.001,16,32,5000,uha,19
17952,17408,-0.8108940124511719,0.001,16,32,5000,uha,19
19008,18432,-0.11493253707885742,0.001,16,32,5000,uha,19
20064,19456,-0.9349451065063477,0.001,16,32,5000,uha,19
21120,20480,-0.8454694747924805,0.001,16,32,5000,uha,19
22176,21504,-0.7227568626403809,0.001,16,32,5000,uha,19
23232,22528,-0.6493635177612305,0.001,16,32,5000,uha,19
24288,23552,-0.8344120979309082,0.001,16,32,5000,uha,19
25344,24576,-0.36937856674194336,0.001,16,32,5000,uha,19
26400,25600,-1.0553407669067383,0.001,16,32,5000,uha,19
27456,26624,-0.37146759033203125,0.001,16,32,5000,uha,19
28512,27648,-0.9720559120178223,0.001,16,32,5000,uha,19
29568,28672,-0.9209485054016113,0.001,16,32,5000,uha,19
30624,29696,-1.0968103408813477,0.001,16,32,5000,uha,19
31680,30720,-0.8753023147583008,0.001,16,32,5000,uha,19
32736,31744,-1.0589008331298828,0.001,16,32,5000,uha,19
33792,32768,-1.0647344589233398,0.001,16,32,5000,uha,19
34848,33792,-1.1300725936889648,0.001,16,32,5000,uha,19
35904,34816,-1.0646686553955078,0.001,16,32,5000,uha,19
36960,35840,-0.8947534561157227,0.001,16,32,5000,uha,19
38016,36864,-0.6126871109008789,0.001,16,32,5000,uha,19
39072,37888,-0.5885610580444336,0.001,16,32,5000,uha,19
40128,38912,-1.0516786575317383,0.001,16,32,5000,uha,19
41184,39936,-1.0362601280212402,0.001,16,32,5000,uha,19
42240,40960,1.616133689880371,0.001,16,32,5000,uha,19
43296,41984,-0.9129829406738281,0.001,16,32,5000,uha,19
44352,43008,-0.9630227088928223,0.001,16,32,5000,uha,19
45408,44032,-0.8485569953918457,0.001,16,32,5000,uha,19
46464,45056,-1.0942201614379883,0.001,16,32,5000,uha,19
47520,46080,-0.4342765808105469,0.001,16,32,5000,uha,19
48576,47104,-0.14763593673706055,0.001,16,32,5000,uha,19
49632,48128,-0.8849973678588867,0.001,16,32,5000,uha,19
50688,49152,-1.1092071533203125,0.001,16,32,5000,uha,19
51744,50176,-0.7902393341064453,0.001,16,32,5000,uha,19
52800,51200,-0.8965864181518555,0.001,16,32,5000,uha,19
53856,52224,-0.861382007598877,0.001,16,32,5000,uha,19
54912,53248,-0.8463382720947266,0.001,16,32,5000,uha,19
55968,54272,-0.33172607421875,0.001,16,32,5000,uha,19
57024,55296,-0.4169044494628906,0.001,16,32,5000,uha,19
58080,56320,0.43668460845947266,0.001,16,32,5000,uha,19
59136,57344,-1.006779670715332,0.001,16,32,5000,uha,19
60192,58368,-1.0020160675048828,0.001,16,32,5000,uha,19
61248,59392,-0.9449186325073242,0.001,16,32,5000,uha,19
62304,60416,-0.9949398040771484,0.001,16,32,5000,uha,19
63360,61440,-0.9119873046875,0.001,16,32,5000,uha,19
64416,62464,-0.8073930740356445,0.001,16,32,5000,uha,19
65472,63488,-0.4952716827392578,0.001,16,32,5000,uha,19
66528,64512,-1.0102148056030273,0.001,16,32,5000,uha,19
67584,65536,-0.7891120910644531,0.001,16,32,5000,uha,19
68640,66560,-0.802001953125,0.001,16,32,5000,uha,19
69696,67584,-0.5327606201171875,0.001,16,32,5000,uha,19
70752,68608,-1.082594871520996,0.001,16,32,5000,uha,19
71808,69632,-0.928713321685791,0.001,16,32,5000,uha,19
72864,70656,-0.9188499450683594,0.001,16,32,5000,uha,19
73920,71680,-1.100358486175537,0.001,16,32,5000,uha,19
74976,72704,-0.31639862060546875,0.001,16,32,5000,uha,19
76032,73728,-0.8545851707458496,0.001,16,32,5000,uha,19
77088,74752,-0.8298826217651367,0.001,16,32,5000,uha,19
78144,75776,-1.0626845359802246,0.001,16,32,5000,uha,19
79200,76800,-0.8757181167602539,0.001,16,32,5000,uha,19
80256,77824,-1.0400028228759766,0.001,16,32,5000,uha,19
81312,78848,-0.9657154083251953,0.001,16,32,5000,uha,19
82368,79872,-0.9180994033813477,0.001,16,32,5000,uha,19
83424,80896,-1.0345063209533691,0.001,16,32,5000,uha,19
84480,81920,-1.0646743774414062,0.001,16,32,5000,uha,19
85536,82944,-0.7836489677429199,0.001,16,32,5000,uha,19
86592,83968,-0.47078514099121094,0.001,16,32,5000,uha,19
87648,84992,-0.7900819778442383,0.001,16,32,5000,uha,19
88704,86016,-0.874598503112793,0.001,16,32,5000,uha,19
89760,87040,-1.093327522277832,0.001,16,32,5000,uha,19
90816,88064,-0.7511081695556641,0.001,16,32,5000,uha,19
91872,89088,-0.9402313232421875,0.001,16,32,5000,uha,19
92928,90112,-0.8634662628173828,0.001,16,32,5000,uha,19
93984,91136,-0.9431743621826172,0.001,16,32,5000,uha,19
95040,92160,-1.1299076080322266,0.001,16,32,5000,uha,19
96096,93184,-0.5282244682312012,0.001,16,32,5000,uha,19
97152,94208,-0.46491527557373047,0.001,16,32,5000,uha,19
98208,95232,-0.9930076599121094,0.001,16,32,5000,uha,19
99264,96256,-0.9648523330688477,0.001,16,32,5000,uha,19
100320,97280,-0.9547028541564941,0.001,16,32,5000,uha,19
101376,98304,-0.6773176193237305,0.001,16,32,5000,uha,19
102432,99328,-0.8506441116333008,0.001,16,32,5000,uha,19
103488,100352,-1.0554804801940918,0.001,16,32,5000,uha,19
104544,101376,-0.9519214630126953,0.001,16,32,5000,uha,19
105600,102400,-1.0055503845214844,0.001,16,32,5000,uha,19
106656,103424,0.19876718521118164,0.001,16,32,5000,uha,19
107712,104448,-0.7632179260253906,0.001,16,32,5000,uha,19
108768,105472,-0.6827020645141602,0.001,16,32,5000,uha,19
109824,106496,-0.9277005195617676,0.001,16,32,5000,uha,19
110880,107520,-0.45197439193725586,0.001,16,32,5000,uha,19
111936,108544,-0.6673974990844727,0.001,16,32,5000,uha,19
112992,109568,-0.7601785659790039,0.001,16,32,5000,uha,19
114048,110592,-0.23748302459716797,0.001,16,32,5000,uha,19
115104,111616,-0.9315776824951172,0.001,16,32,5000,uha,19
116160,112640,-0.8892197608947754,0.001,16,32,5000,uha,19
117216,113664,-0.8687934875488281,0.001,16,32,5000,uha,19
118272,114688,-0.5870556831359863,0.001,16,32,5000,uha,19
119328,115712,-0.14696550369262695,0.001,16,32,5000,uha,19
120384,116736,-0.4712033271789551,0.001,16,32,5000,uha,19
121440,117760,-0.6138548851013184,0.001,16,32,5000,uha,19
122496,118784,0.6401028633117676,0.001,16,32,5000,uha,19
123552,119808,-0.7026891708374023,0.001,16,32,5000,uha,19
124608,120832,-0.7504892349243164,0.001,16,32,5000,uha,19
125664,121856,-0.6348409652709961,0.001,16,32,5000,uha,19
126720,122880,-0.7399215698242188,0.001,16,32,5000,uha,19
127776,123904,-0.9648675918579102,0.001,16,32,5000,uha,19
128832,124928,-0.8294010162353516,0.001,16,32,5000,uha,19
129888,125952,2.166778564453125,0.001,16,32,5000,uha,19
130944,126976,-0.16500282287597656,0.001,16,32,5000,uha,19
132000,128000,-0.6425457000732422,0.001,16,32,5000,uha,19
133056,129024,-1.017171859741211,0.001,16,32,5000,uha,19
134112,130048,-0.8338990211486816,0.001,16,32,5000,uha,19
135168,131072,-0.9660778045654297,0.001,16,32,5000,uha,19
136224,132096,-1.054582118988037,0.001,16,32,5000,uha,19
137280,133120,-0.45050477981567383,0.001,16,32,5000,uha,19
138336,134144,-0.9379692077636719,0.001,16,32,5000,uha,19
139392,135168,-0.5292167663574219,0.001,16,32,5000,uha,19
140448,136192,-0.95703125,0.001,16,32,5000,uha,19
141504,137216,-1.0833683013916016,0.001,16,32,5000,uha,19
142560,138240,-0.5330939292907715,0.001,16,32,5000,uha,19
143616,139264,-0.4227867126464844,0.001,16,32,5000,uha,19
144672,140288,0.15920400619506836,0.001,16,32,5000,uha,19
145728,141312,-0.47348785400390625,0.001,16,32,5000,uha,19
146784,142336,-0.7059392929077148,0.001,16,32,5000,uha,19
147840,143360,-0.6945838928222656,0.001,16,32,5000,uha,19
