n_lpdf_eval,n_grad_eval,logzs_eval,lr,nbridge,batchsize,niters,method,id
32,992,-4.207029184417187,0.01,16,32,5000,ula,19
64,1984,-7.921843923295956,0.01,16,32,5000,ula,19
96,2976,-7.11824556659038,0.01,16,32,5000,ula,19
128,3968,-6.025909135335818,0.01,16,32,5000,ula,19
160,4960,-8.20249818254841,0.01,16,32,5000,ula,19
192,5952,-8.422318016709186,0.01,16,32,5000,ula,19
224,6944,-4.721213624957469,0.01,16,32,5000,ula,19
256,7936,-7.5289763189871355,0.01,16,32,5000,ula,19
288,8928,-6.149491194144222,0.01,16,32,5000,ula,19
320,9920,-5.334081353548365,0.01,16,32,5000,ula,19
352,10912,-7.903557535476136,0.01,16,32,5000,ula,19
384,11904,-6.413021210360621,0.01,16,32,5000,ula,19
416,12896,-7.464963279229697,0.01,16,32,5000,ula,19
448,13888,-6.483946489803969,0.01,16,32,5000,ula,19
480,14880,-7.474432239743942,0.01,16,32,5000,ula,19
512,15872,-7.186670737721378,0.01,16,32,5000,ula,19
544,16864,-6.600932668118403,0.01,16,32,5000,ula,19
576,17856,-6.38623139190151,0.01,16,32,5000,ula,19
608,18848,-6.739112471116828,0.01,16,32,5000,ula,19
640,19840,-6.2710425265226855,0.01,16,32,5000,ula,19
672,20832,-6.536114350664869,0.01,16,32,5000,ula,19
704,21824,-4.208917019580856,0.01,16,32,5000,ula,19
736,22816,-6.185920870875965,0.01,16,32,5000,ula,19
768,23808,-4.242306900211467,0.01,16,32,5000,ula,19
800,24800,-3.862098216656069,0.01,16,32,5000,ula,19
832,25792,-5.555472926340504,0.01,16,32,5000,ula,19
864,26784,-6.305985203949689,0.01,16,32,5000,ula,19
896,27776,-6.533119850710638,0.01,16,32,5000,ula,19
928,28768,-5.86311747259675,0.01,16,32,5000,ula,19
960,29760,2.942397143360293,0.01,16,32,5000,ula,19
992,30752,-2.536564173298734,0.01,16,32,5000,ula,19
1024,31744,-6.263212841686801,0.01,16,32,5000,ula,19
1056,32736,-5.20692154063857,0.01,16,32,5000,ula,19
1088,33728,-4.346029782052884,0.01,16,32,5000,ula,19
1120,34720,-5.444476405462165,0.01,16,32,5000,ula,19
1152,35712,-5.011423457687129,0.01,16,32,5000,ula,19
1184,36704,-5.479034042922599,0.01,16,32,5000,ula,19
1216,37696,-4.466750630492786,0.01,16,32,5000,ula,19
1248,38688,-5.212467252407525,0.01,16,32,5000,ula,19
1280,39680,-6.017919748963241,0.01,16,32,5000,ula,19
1312,40672,-5.668330399567021,0.01,16,32,5000,ula,19
1344,41664,-5.494249105396017,0.01,16,32,5000,ula,19
1376,42656,-5.262297328488105,0.01,16,32,5000,ula,19
1408,43648,-3.413929966859601,0.01,16,32,5000,ula,19
1440,44640,-6.009114954493292,0.01,16,32,5000,ula,19
1472,45632,-5.043236306010772,0.01,16,32,5000,ula,19
1504,46624,-4.497558836381591,0.01,16,32,5000,ula,19
1536,47616,-5.423875200928929,0.01,16,32,5000,ula,19
1568,48608,-5.224278962814457,0.01,16,32,5000,ula,19
1600,49600,-4.963998078534648,0.01,16,32,5000,ula,19
1632,50592,-3.95608301707205,0.01,16,32,5000,ula,19
1664,51584,-5.382339717366868,0.01,16,32,5000,ula,19
1696,52576,-4.185508641583464,0.01,16,32,5000,ula,19
1728,53568,-5.26773727185473,0.01,16,32,5000,ula,19
1760,54560,-4.795594367091752,0.01,16,32,5000,ula,19
1792,55552,-3.627217131699779,0.01,16,32,5000,ula,19
1824,56544,-5.85266916223107,0.01,16,32,5000,ula,19
1856,57536,-4.459338716880282,0.01,16,32,5000,ula,19
1888,58528,-5.45376297298422,0.01,16,32,5000,ula,19
1920,59520,-4.711933429290482,0.01,16,32,5000,ula,19
1952,60512,-5.4936572169335705,0.01,16,32,5000,ula,19
1984,61504,-3.5203309073107274,0.01,16,32,5000,ula,19
2016,62496,-2.339928518971269,0.01,16,32,5000,ula,19
2048,63488,-3.9993126180118277,0.01,16,32,5000,ula,19
2080,64480,-2.244224850263709,0.01,16,32,5000,ula,19
2112,65472,-5.247277907879162,0.01,16,32,5000,ula,19
2144,66464,-5.350539923143076,0.01,16,32,5000,ula,19
2176,67456,-2.433966061762094,0.01,16,32,5000,ula,19
2208,68448,-4.711053247746202,0.01,16,32,5000,ula,19
2240,69440,-4.914823988301499,0.01,16,32,5000,ula,19
2272,70432,-4.443383198623161,0.01,16,32,5000,ula,19
2304,71424,-5.519936885623036,0.01,16,32,5000,ula,19
2336,72416,-4.760141635570078,0.01,16,32,5000,ula,19
2368,73408,-4.1631079473647805,0.01,16,32,5000,ula,19
2400,74400,-5.318098237319708,0.01,16,32,5000,ula,19
2432,75392,-4.1952918171478935,0.01,16,32,5000,ula,19
2464,76384,-4.606787945324744,0.01,16,32,5000,ula,19
2496,77376,-4.604180552330304,0.01,16,32,5000,ula,19
2528,78368,-4.111054682009499,0.01,16,32,5000,ula,19
2560,79360,-5.363011617550707,0.01,16,32,5000,ula,19
2592,80352,-4.4001158867494645,0.01,16,32,5000,ula,19
2624,81344,-4.566944367490095,0.01,16,32,5000,ula,19
2656,82336,-1.3965951696254857,0.01,16,32,5000,ula,19
2688,83328,-3.3758553097401927,0.01,16,32,5000,ula,19
2720,84320,-4.3198308476563145,0.01,16,32,5000,ula,19
2752,85312,-4.421749635989445,0.01,16,32,5000,ula,19
2784,86304,-5.488738988374428,0.01,16,32,5000,ula,19
2816,87296,-4.080229497815589,0.01,16,32,5000,ula,19
2848,88288,-3.932986001319869,0.01,16,32,5000,ula,19
2880,89280,-4.9432963062839566,0.01,16,32,5000,ula,19
2912,90272,-1.3246517751659912,0.01,16,32,5000,ula,19
2944,91264,-5.342461827571778,0.01,16,32,5000,ula,19
2976,92256,-4.365430138700894,0.01,16,32,5000,ula,19
3008,93248,-4.760235664310349,0.01,16,32,5000,ula,19
3040,94240,-4.331195972617641,0.01,16,32,5000,ula,19
3072,95232,-4.702207467140755,0.01,16,32,5000,ula,19
3104,96224,-4.7077661946904446,0.01,16,32,5000,ula,19
3136,97216,-2.4794793037632186,0.01,16,32,5000,ula,19
3168,98208,-4.446158890333747,0.01,16,32,5000,ula,19
3200,99200,-4.06412337211668,0.01,16,32,5000,ula,19
3232,100192,-5.061661589232289,0.01,16,32,5000,ula,19
3264,101184,-3.073885405160631,0.01,16,32,5000,ula,19
3296,102176,-5.280209357033403,0.01,16,32,5000,ula,19
3328,103168,-4.950207624056807,0.01,16,32,5000,ula,19
3360,104160,-4.6730626836842735,0.01,16,32,5000,ula,19
3392,105152,-2.2928021664364593,0.01,16,32,5000,ula,19
3424,106144,-5.117899073779403,0.01,16,32,5000,ula,19
3456,107136,-3.777688081725929,0.01,16,32,5000,ula,19
3488,108128,-4.991475430436779,0.01,16,32,5000,ula,19
3520,109120,-4.728412977661056,0.01,16,32,5000,ula,19
3552,110112,-3.698469941652671,0.01,16,32,5000,ula,19
